,FUNC-3,FUNC-2,FUNC-1,FUNC+1,FUNC+2,FUNC+3
89363,N<PRED,ADVL,PU,CJT,N<,PU
89364,ADVL,PU,CO,N<,PU,
89365,PU,CO,CJT,PU,,
89366,CO,CJT,N<,,,
89367,,,,SUBJ,N<,>N
89368,,,>N,N<,>N,P<
89369,,>N,SUBJ,>N,P<,ACC
89370,>N,SUBJ,N<,P<,ACC,MV
89371,SUBJ,N<,>N,ACC,MV,SC
89372,N<,>N,P<,MV,SC,ADVL
89373,>N,P<,ACC,SC,ADVL,PU
89374,P<,ACC,MV,ADVL,PU,PU
89375,ACC,MV,SC,PU,PU,STA
89376,MV,SC,ADVL,PU,STA,SUBJ
89377,SC,ADVL,PU,STA,SUBJ,PU
89378,ADVL,PU,PU,SUBJ,PU,
89379,PU,PU,STA,PU,,
89380,PU,STA,SUBJ,,,
89381,,,,SUBJ,STA,AUX
89382,,,>N,STA,AUX,MV
89383,,>N,SUBJ,AUX,MV,>N
89384,>N,SUBJ,STA,MV,>N,ACC
89385,SUBJ,STA,AUX,>N,ACC,PIV
89386,STA,AUX,MV,ACC,PIV,>N
89387,AUX,MV,>N,PIV,>N,P<
89388,MV,>N,ACC,>N,P<,ADVL
89389,>N,ACC,PIV,P<,ADVL,>N
89390,ACC,PIV,>N,ADVL,>N,P<
89391,PIV,>N,P<,>N,P<,PIV
89392,>N,P<,ADVL,P<,PIV,P<
89393,P<,ADVL,>N,PIV,P<,PU
89394,ADVL,>N,P<,P<,PU,
89395,>N,P<,PIV,PU,,
89396,P<,PIV,P<,,,
89397,,,,SUBJ,N<,>N
89398,,,>N,N<,>N,P<
89399,,>N,SUBJ,>N,P<,PU
89400,>N,SUBJ,N<,P<,PU,APP
89401,SUBJ,N<,>N,PU,APP,PU
89402,N<,>N,P<,APP,PU,STA
89403,>N,P<,PU,PU,STA,SUB
89404,P<,PU,APP,STA,SUB,PU
89405,PU,APP,PU,SUB,PU,ADVL
89406,APP,PU,STA,PU,ADVL,>N
89407,PU,STA,SUB,ADVL,>N,P<
89408,STA,SUB,PU,>N,P<,N<
89409,SUB,PU,ADVL,P<,N<,>N
89410,PU,ADVL,>N,N<,>N,P<
89411,ADVL,>N,P<,>N,P<,N<
89412,>N,P<,N<,P<,N<,>N
89413,P<,N<,>N,N<,>N,P<
89414,N<,>N,P<,>N,P<,PU
89415,>N,P<,N<,P<,PU,>N
89416,P<,N<,>N,PU,>N,SUBJ
89417,N<,>N,P<,>N,SUBJ,N<
89418,>N,P<,PU,SUBJ,N<,>N
89419,P<,PU,>N,N<,>N,P<
89420,PU,>N,SUBJ,>N,P<,N<
89421,>N,SUBJ,N<,P<,N<,>N
89422,SUBJ,N<,>N,N<,>N,P<
89423,N<,>N,P<,>N,P<,N<
89424,>N,P<,N<,P<,N<,>N
89425,P<,N<,>N,N<,>N,P<
89426,N<,>N,P<,>N,P<,PU
89427,>N,P<,N<,P<,PU,CJT
89428,P<,N<,>N,PU,CJT,CO
89429,N<,>N,P<,CJT,CO,CJT
89430,>N,P<,PU,CO,CJT,ACC
89431,P<,PU,CJT,CJT,ACC,MV
89432,PU,CJT,CO,ACC,MV,>N
89433,CJT,CO,CJT,MV,>N,ACC
89434,CO,CJT,ACC,>N,ACC,N<ARGS
89435,CJT,ACC,MV,ACC,N<ARGS,>N
89436,ACC,MV,>N,N<ARGS,>N,P<
89437,MV,>N,ACC,>N,P<,PU
89438,>N,ACC,N<ARGS,P<,PU,
89439,ACC,N<ARGS,>N,PU,,
89440,N<ARGS,>N,P<,,,
89441,,,,STA,MV,>N
89442,,,SUBJ,MV,>N,ACC
89443,,SUBJ,STA,>N,ACC,N<ARGO
89444,SUBJ,STA,MV,ACC,N<ARGO,>N
89445,STA,MV,>N,N<ARGO,>N,P<
89446,MV,>N,ACC,>N,P<,N<
89447,>N,ACC,N<ARGO,P<,N<,>N
89448,ACC,N<ARGO,>N,N<,>N,P<
89449,N<ARGO,>N,P<,>N,P<,N<
89450,>N,P<,N<,P<,N<,PASS
89451,P<,N<,>N,N<,PASS,>N
89452,N<,>N,P<,PASS,>N,P<
89453,>N,P<,N<,>N,P<,ADVL
89454,P<,N<,PASS,P<,ADVL,P<
89455,N<,PASS,>N,ADVL,P<,SUB
89456,PASS,>N,P<,P<,SUB,>N
89457,>N,P<,ADVL,SUB,>N,SUBJ
89458,P<,ADVL,P<,>N,SUBJ,N<ARGO
89459,ADVL,P<,SUB,SUBJ,N<ARGO,>N
89460,P<,SUB,>N,N<ARGO,>N,P<
89461,SUB,>N,SUBJ,>N,P<,ACC
89462,>N,SUBJ,N<ARGO,P<,ACC,CO
89463,SUBJ,N<ARGO,>N,ACC,CO,CJT
89464,N<ARGO,>N,P<,CO,CJT,ACC
89465,>N,P<,ACC,CJT,ACC,N<
89466,P<,ACC,CO,ACC,N<,PU
89467,ACC,CO,CJT,N<,PU,
89468,CO,CJT,ACC,PU,,
89469,CJT,ACC,N<,,,
89470,,,,P<,>N,ACC
89471,,,ADVL,>N,ACC,N<ARGO
89472,,ADVL,P<,ACC,N<ARGO,>N
89473,ADVL,P<,>N,N<ARGO,>N,P<
89474,P<,>N,ACC,>N,P<,N<
89475,>N,ACC,N<ARGO,P<,N<,P<
89476,ACC,N<ARGO,>N,N<,P<,PU
89477,N<ARGO,>N,P<,P<,PU,>N
89478,>N,P<,N<,PU,>N,SUBJ
89479,P<,N<,P<,>N,SUBJ,ADVL
89480,N<,P<,PU,SUBJ,ADVL,STA
89481,P<,PU,>N,ADVL,STA,ADVL
89482,PU,>N,SUBJ,STA,ADVL,SUB
89483,>N,SUBJ,ADVL,ADVL,SUB,>N
89484,SUBJ,ADVL,STA,SUB,>N,>N
89485,ADVL,STA,ADVL,>N,>N,SUBJ
89486,STA,ADVL,SUB,>N,SUBJ,ACC
89487,ADVL,SUB,>N,SUBJ,ACC,>A
89488,SUB,>N,>N,ACC,>A,>N
89489,>N,>N,SUBJ,>A,>N,ADVL
89490,>N,SUBJ,ACC,>N,ADVL,PU
89491,SUBJ,ACC,>A,ADVL,PU,
89492,ACC,>A,>N,PU,,
89493,>A,>N,ADVL,,,
89494,,,,>N,P<,PU
89495,,,ADVL,P<,PU,>N
89496,,ADVL,>N,PU,>N,SUBJ
89497,ADVL,>N,P<,>N,SUBJ,STA
89498,>N,P<,PU,SUBJ,STA,SC
89499,P<,PU,>N,STA,SC,PIV
89500,PU,>N,SUBJ,SC,PIV,P<
89501,>N,SUBJ,STA,PIV,P<,>N
89502,SUBJ,STA,SC,P<,>N,ACC
89503,STA,SC,PIV,>N,ACC,N<
89504,SC,PIV,P<,ACC,N<,>N
89505,PIV,P<,>N,N<,>N,P<
89506,P<,>N,ACC,>N,P<,SUBJ
89507,>N,ACC,N<,P<,SUBJ,N<
89508,ACC,N<,>N,SUBJ,N<,ACC
89509,N<,>N,P<,N<,ACC,ACC
89510,>N,P<,SUBJ,ACC,ACC,N<
89511,P<,SUBJ,N<,ACC,N<,N<
89512,SUBJ,N<,ACC,N<,N<,>N
89513,N<,ACC,ACC,N<,>N,P<
89514,ACC,ACC,N<,>N,P<,ADVL
89515,ACC,N<,N<,P<,ADVL,P<
89516,N<,N<,>N,ADVL,P<,CO
89517,N<,>N,P<,P<,CO,CJT
89518,>N,P<,ADVL,CO,CJT,PU
89519,P<,ADVL,P<,CJT,PU,
89520,ADVL,P<,CO,PU,,
89521,P<,CO,CJT,,,
89522,,,,STA,MV,ADVL
89523,,,SUBJ,MV,ADVL,A<
89524,,SUBJ,STA,ADVL,A<,>N
89525,SUBJ,STA,MV,A<,>N,P<
89526,STA,MV,ADVL,>N,P<,>N
89527,MV,ADVL,A<,P<,>N,ACC
89528,ADVL,A<,>N,>N,ACC,N<ARGO
89529,A<,>N,P<,ACC,N<ARGO,>N
89530,>N,P<,>N,N<ARGO,>N,P<
89531,P<,>N,ACC,>N,P<,N<
89532,>N,ACC,N<ARGO,P<,N<,N<
89533,ACC,N<ARGO,>N,N<,N<,>N
89534,N<ARGO,>N,P<,N<,>N,P<
89535,>N,P<,N<,>N,P<,PU
89536,P<,N<,N<,P<,PU,SUBJ
89537,N<,N<,>N,PU,SUBJ,N<PRED
89538,N<,>N,P<,SUBJ,N<PRED,SUB
89539,>N,P<,PU,N<PRED,SUB,SUBJ
89540,P<,PU,SUBJ,SUB,SUBJ,ACC
89541,PU,SUBJ,N<PRED,SUBJ,ACC,MV
89542,SUBJ,N<PRED,SUB,ACC,MV,>N
89543,N<PRED,SUB,SUBJ,MV,>N,>N
89544,SUB,SUBJ,ACC,>N,>N,ACC
89545,SUBJ,ACC,MV,>N,ACC,N<
89546,ACC,MV,>N,ACC,N<,>N
89547,MV,>N,>N,N<,>N,P<
89548,>N,>N,ACC,>N,P<,N<
89549,>N,ACC,N<,P<,N<,P<
89550,ACC,N<,>N,N<,P<,N<
89551,N<,>N,P<,P<,N<,>N
89552,>N,P<,N<,N<,>N,P<
89553,P<,N<,P<,>N,P<,PU
89554,N<,P<,N<,P<,PU,
89555,P<,N<,>N,PU,,
89556,N<,>N,P<,,,
89557,,,,SUBJ,N<,STA
89558,,,>N,N<,STA,>N
89559,,>N,SUBJ,STA,>N,ACC
89560,>N,SUBJ,N<,>N,ACC,N<
89561,SUBJ,N<,STA,ACC,N<,PIV
89562,N<,STA,>N,N<,PIV,P<
89563,STA,>N,ACC,PIV,P<,ACC
89564,>N,ACC,N<,P<,ACC,N<
89565,ACC,N<,PIV,ACC,N<,>N
89566,N<,PIV,P<,N<,>N,>N
89567,PIV,P<,ACC,>N,>N,P<
89568,P<,ACC,N<,>N,P<,ADVL
89569,ACC,N<,>N,P<,ADVL,>N
89570,N<,>N,>N,ADVL,>N,P<
89571,>N,>N,P<,>N,P<,SUBJ
89572,>N,P<,ADVL,P<,SUBJ,N<
89573,P<,ADVL,>N,SUBJ,N<,ADVL
89574,ADVL,>N,P<,N<,ADVL,P<
89575,>N,P<,SUBJ,ADVL,P<,PU
89576,P<,SUBJ,N<,P<,PU,
89577,SUBJ,N<,ADVL,PU,,
89578,N<,ADVL,P<,,,
89579,,,,>N,>N,SC
89580,,,STA,>N,SC,ACC
89581,,STA,>N,SC,ACC,>N
89582,STA,>N,>N,ACC,>N,SUBJ
89583,>N,>N,SC,>N,SUBJ,N<
89584,>N,SC,ACC,SUBJ,N<,>N
89585,SC,ACC,>N,N<,>N,ACC
89586,ACC,>N,SUBJ,>N,ACC,PIV
89587,>N,SUBJ,N<,ACC,PIV,>N
89588,SUBJ,N<,>N,PIV,>N,P<
89589,N<,>N,ACC,>N,P<,N<
89590,>N,ACC,PIV,P<,N<,>N
89591,ACC,PIV,>N,N<,>N,P<
89592,PIV,>N,P<,>N,P<,ADVL
89593,>N,P<,N<,P<,ADVL,>N
89594,P<,N<,>N,ADVL,>N,P<
89595,N<,>N,P<,>N,P<,N<
89596,>N,P<,ADVL,P<,N<,PU
89597,P<,ADVL,>N,N<,PU,
89598,ADVL,>N,P<,PU,,
89599,>N,P<,N<,,,
89600,,,,MV,>N,>N
89601,,,STA,>N,>N,>N
89602,,STA,MV,>N,>N,SUBJ
89603,STA,MV,>N,>N,SUBJ,N<
89604,MV,>N,>N,SUBJ,N<,>N
89605,>N,>N,>N,N<,>N,P<
89606,>N,>N,SUBJ,>N,P<,CO
89607,>N,SUBJ,N<,P<,CO,ADVL
89608,SUBJ,N<,>N,CO,ADVL,CJT
89609,N<,>N,P<,ADVL,CJT,AUX
89610,>N,P<,CO,CJT,AUX,MV
89611,P<,CO,ADVL,AUX,MV,SUBJ
89612,CO,ADVL,CJT,MV,SUBJ,PU
89613,ADVL,CJT,AUX,SUBJ,PU,
89614,CJT,AUX,MV,PU,,
89615,AUX,MV,SUBJ,,,
89616,,,,SUBJ,STA,SC
89617,,,>N,STA,SC,ACC
89618,,>N,SUBJ,SC,ACC,SUB
89619,>N,SUBJ,STA,ACC,SUB,SUBJ
89620,SUBJ,STA,SC,SUB,SUBJ,ACC
89621,STA,SC,ACC,SUBJ,ACC,>N
89622,SC,ACC,SUB,ACC,>N,ACC
89623,ACC,SUB,SUBJ,>N,ACC,ADVL
89624,SUB,SUBJ,ACC,ACC,ADVL,>N
89625,SUBJ,ACC,>N,ADVL,>N,P<
89626,ACC,>N,ACC,>N,P<,PU
89627,>N,ACC,ADVL,P<,PU,
89628,ACC,ADVL,>N,PU,,
89629,ADVL,>N,P<,,,
89630,,,,N<,>N,P<
89631,,,SUBJ,>N,P<,STA
89632,,SUBJ,N<,P<,STA,PIV
89633,SUBJ,N<,>N,STA,PIV,>N
89634,N<,>N,P<,PIV,>N,P<
89635,>N,P<,STA,>N,P<,ACC
89636,P<,STA,PIV,P<,ACC,>N
89637,STA,PIV,>N,ACC,>N,ACC
89638,PIV,>N,P<,>N,ACC,PU
89639,>N,P<,ACC,ACC,PU,
89640,P<,ACC,>N,PU,,
89641,ACC,>N,ACC,,,
89642,,,,SUBJ,STA,ACC
89643,,,>N,STA,ACC,N<
89644,,>N,SUBJ,ACC,N<,>N
89645,>N,SUBJ,STA,N<,>N,P<
89646,SUBJ,STA,ACC,>N,P<,N<
89647,STA,ACC,N<,P<,N<,SUBJ
89648,ACC,N<,>N,N<,SUBJ,N<
89649,N<,>N,P<,SUBJ,N<,>N
89650,>N,P<,N<,N<,>N,ACC
89651,P<,N<,SUBJ,>N,ACC,N<
89652,N<,SUBJ,N<,ACC,N<,>N
89653,SUBJ,N<,>N,N<,>N,P<
89654,N<,>N,ACC,>N,P<,ADVL
89655,>N,ACC,N<,P<,ADVL,A<
89656,ACC,N<,>N,ADVL,A<,>N
89657,N<,>N,P<,A<,>N,P<
89658,>N,P<,ADVL,>N,P<,ADVL
89659,P<,ADVL,A<,P<,ADVL,>N
89660,ADVL,A<,>N,ADVL,>N,P<
89661,A<,>N,P<,>N,P<,PU
89662,>N,P<,ADVL,P<,PU,
89663,P<,ADVL,>N,PU,,
89664,ADVL,>N,P<,,,
89665,,,,A<,P<,PU
89666,,,ADVL,P<,PU,SUBJ
89667,,ADVL,A<,PU,SUBJ,STA
89668,ADVL,A<,P<,SUBJ,STA,PIV
89669,A<,P<,PU,STA,PIV,P<
89670,P<,PU,SUBJ,PIV,P<,>N
89671,PU,SUBJ,STA,P<,>N,ACC
89672,SUBJ,STA,PIV,>N,ACC,N<
89673,STA,PIV,P<,ACC,N<,>N
89674,PIV,P<,>N,N<,>N,P<
89675,P<,>N,ACC,>N,P<,ADVL
89676,>N,ACC,N<,P<,ADVL,P<
89677,ACC,N<,>N,ADVL,P<,CO
89678,N<,>N,P<,P<,CO,CJT
89679,>N,P<,ADVL,CO,CJT,PU
89680,P<,ADVL,P<,CJT,PU,
89681,ADVL,P<,CO,PU,,
89682,P<,CO,CJT,,,
89683,,,,SUBJ,N<,PU
89684,,,>N,N<,PU,SUBJ
89685,,>N,SUBJ,PU,SUBJ,N<PRED
89686,>N,SUBJ,N<,SUBJ,N<PRED,ADVL
89687,SUBJ,N<,PU,N<PRED,ADVL,P<
89688,N<,PU,SUBJ,ADVL,P<,PU
89689,PU,SUBJ,N<PRED,P<,PU,CJT
89690,SUBJ,N<PRED,ADVL,PU,CJT,PU
89691,N<PRED,ADVL,P<,CJT,PU,N<PRED
89692,ADVL,P<,PU,PU,N<PRED,>N
89693,P<,PU,CJT,N<PRED,>N,P<
89694,PU,CJT,PU,>N,P<,PU
89695,CJT,PU,N<PRED,P<,PU,PU
89696,PU,N<PRED,>N,PU,PU,CJT
89697,N<PRED,>N,P<,PU,CJT,PU
89698,>N,P<,PU,CJT,PU,N<PRED
89699,P<,PU,PU,PU,N<PRED,PU
89700,PU,PU,CJT,N<PRED,PU,N<PRED
89701,PU,CJT,PU,PU,N<PRED,N<
89702,CJT,PU,N<PRED,N<PRED,N<,PU
89703,PU,N<PRED,PU,N<,PU,CO
89704,N<PRED,PU,N<PRED,PU,CO,CJT
89705,PU,N<PRED,N<,CO,CJT,PU
89706,N<PRED,N<,PU,CJT,PU,N<PRED
89707,N<,PU,CO,PU,N<PRED,N<
89708,PU,CO,CJT,N<PRED,N<,PU
89709,CO,CJT,PU,N<,PU,PU
89710,CJT,PU,N<PRED,PU,PU,STA
89711,PU,N<PRED,N<,PU,STA,>N
89712,N<PRED,N<,PU,STA,>N,ACC
89713,N<,PU,PU,>N,ACC,PIV
89714,PU,PU,STA,ACC,PIV,>N
89715,PU,STA,>N,PIV,>N,>N
89716,STA,>N,ACC,>N,>N,P<
89717,>N,ACC,PIV,>N,P<,N<
89718,ACC,PIV,>N,P<,N<,P<
89719,PIV,>N,>N,N<,P<,N<
89720,>N,>N,P<,P<,N<,>N
89721,>N,P<,N<,N<,>N,P<
89722,P<,N<,P<,>N,P<,PU
89723,N<,P<,N<,P<,PU,N<PRED
89724,P<,N<,>N,PU,N<PRED,PASS
89725,N<,>N,P<,N<PRED,PASS,>N
89726,>N,P<,PU,PASS,>N,P<
89727,P<,PU,N<PRED,>N,P<,PU
89728,PU,N<PRED,PASS,P<,PU,>N
89729,N<PRED,PASS,>N,PU,>N,CO
89730,PASS,>N,P<,>N,CO,CJT
89731,>N,P<,PU,CO,CJT,CJT
89732,P<,PU,>N,CJT,CJT,N<
89733,PU,>N,CO,CJT,N<,CO
89734,>N,CO,CJT,N<,CO,CJT
89735,CO,CJT,CJT,CO,CJT,N<
89736,CJT,CJT,N<,CJT,N<,CO
89737,CJT,N<,CO,N<,CO,CJT
89738,N<,CO,CJT,CO,CJT,
89739,CO,CJT,N<,CJT,,
89740,CJT,N<,CO,,,
89741,,,,>N,SUBJ,CO
89742,,,STA,SUBJ,CO,CJT
89743,,STA,>N,CO,CJT,>N
89744,STA,>N,SUBJ,CJT,>N,SUBJ
89745,>N,SUBJ,CO,>N,SUBJ,PU
89746,SUBJ,CO,CJT,SUBJ,PU,CJT
89747,CO,CJT,>N,PU,CJT,CO
89748,CJT,>N,SUBJ,CJT,CO,CJT
89749,>N,SUBJ,PU,CO,CJT,PU
89750,SUBJ,PU,CJT,CJT,PU,
89751,PU,CJT,CO,PU,,
89752,CJT,CO,CJT,,,
89753,,,,PIV,>N,P<
89754,,,PRED,>N,P<,N<
89755,,PRED,PIV,P<,N<,P<
89756,PRED,PIV,>N,N<,P<,N<
89757,PIV,>N,P<,P<,N<,>N
89758,>N,P<,N<,N<,>N,P<
89759,P<,N<,P<,>N,P<,PU
89760,N<,P<,N<,P<,PU,APP
89761,P<,N<,>N,PU,APP,PU
89762,N<,>N,P<,APP,PU,SUBJ
89763,>N,P<,PU,PU,SUBJ,STA
89764,P<,PU,APP,SUBJ,STA,>N
89765,PU,APP,PU,STA,>N,ACC
89766,APP,PU,SUBJ,>N,ACC,N<
89767,PU,SUBJ,STA,ACC,N<,P<
89768,SUBJ,STA,>N,N<,P<,N<
89769,STA,>N,ACC,P<,N<,>N
89770,>N,ACC,N<,N<,>N,P<
89771,ACC,N<,P<,>N,P<,N<
89772,N<,P<,N<,P<,N<,PU
89773,P<,N<,>N,N<,PU,APP
89774,N<,>N,P<,PU,APP,PU
89775,>N,P<,N<,APP,PU,CO
89776,P<,N<,PU,PU,CO,ACC
89777,N<,PU,APP,CO,ACC,CJT
89778,PU,APP,PU,ACC,CJT,PIV
89779,APP,PU,CO,CJT,PIV,>N
89780,PU,CO,ACC,PIV,>N,P<
89781,CO,ACC,CJT,>N,P<,N<
89782,ACC,CJT,PIV,P<,N<,P<
89783,CJT,PIV,>N,N<,P<,PU
89784,PIV,>N,P<,P<,PU,
89785,>N,P<,N<,PU,,
89786,P<,N<,P<,,,
89787,,,,SUBJ,STA,ACC
89788,,,PU,STA,ACC,N<ARG
89789,,PU,SUBJ,ACC,N<ARG,P<
89790,PU,SUBJ,STA,N<ARG,P<,MV
89791,SUBJ,STA,ACC,P<,MV,PU
89792,STA,ACC,N<ARG,MV,PU,SUB
89793,ACC,N<ARG,P<,PU,SUB,>N
89794,N<ARG,P<,MV,SUB,>N,SUBJ
89795,P<,MV,PU,>N,SUBJ,ADVL
89796,MV,PU,SUB,SUBJ,ADVL,MV
89797,PU,SUB,>N,ADVL,MV,SC
89798,SUB,>N,SUBJ,MV,SC,A<
89799,>N,SUBJ,ADVL,SC,A<,PU
89800,SUBJ,ADVL,MV,A<,PU,
89801,ADVL,MV,SC,PU,,
89802,MV,SC,A<,,,
89803,,,,SUBJ,SUBJ,N<
89804,,,>N,SUBJ,N<,>N
89805,,>N,SUBJ,N<,>N,ACC
89806,>N,SUBJ,SUBJ,>N,ACC,N<
89807,SUBJ,SUBJ,N<,ACC,N<,N<
89808,SUBJ,N<,>N,N<,N<,P<
89809,N<,>N,ACC,N<,P<,ADVL
89810,>N,ACC,N<,P<,ADVL,STA
89811,ACC,N<,N<,ADVL,STA,MV
89812,N<,N<,P<,STA,MV,>N
89813,N<,P<,ADVL,MV,>N,ACC
89814,P<,ADVL,STA,>N,ACC,ACC
89815,ADVL,STA,MV,ACC,ACC,>N
89816,STA,MV,>N,ACC,>N,P<
89817,MV,>N,ACC,>N,P<,N<
89818,>N,ACC,ACC,P<,N<,PU
89819,ACC,ACC,>N,N<,PU,
89820,ACC,>N,P<,PU,,
89821,>N,P<,N<,,,
89822,,,,SUBJ,STA,ACC
89823,,,>N,STA,ACC,N<
89824,,>N,SUBJ,ACC,N<,N<
89825,>N,SUBJ,STA,N<,N<,P<
89826,SUBJ,STA,ACC,N<,P<,N<
89827,STA,ACC,N<,P<,N<,SUB
89828,ACC,N<,N<,N<,SUB,>N
89829,N<,N<,P<,SUB,>N,SUBJ
89830,N<,P<,N<,>N,SUBJ,N<
89831,P<,N<,SUB,SUBJ,N<,ADVL
89832,N<,SUB,>N,N<,ADVL,>N
89833,SUB,>N,SUBJ,ADVL,>N,ACC
89834,>N,SUBJ,N<,>N,ACC,N<
89835,SUBJ,N<,ADVL,ACC,N<,PU
89836,N<,ADVL,>N,N<,PU,
89837,ADVL,>N,ACC,PU,,
89838,>N,ACC,N<,,,
89839,,,,SUBJ,N<,>N
89840,,,>N,N<,>N,P<
89841,,>N,SUBJ,>N,P<,N<
89842,>N,SUBJ,N<,P<,N<,STA
89843,SUBJ,N<,>N,N<,STA,ADVL
89844,N<,>N,P<,STA,ADVL,SUB
89845,>N,P<,N<,ADVL,SUB,>N
89846,P<,N<,STA,SUB,>N,SUBJ
89847,N<,STA,ADVL,>N,SUBJ,ACC
89848,STA,ADVL,SUB,SUBJ,ACC,MV
89849,ADVL,SUB,>N,ACC,MV,>N
89850,SUB,>N,SUBJ,MV,>N,ACC
89851,>N,SUBJ,ACC,>N,ACC,CO
89852,SUBJ,ACC,MV,ACC,CO,CJT
89853,ACC,MV,>N,CO,CJT,PU
89854,MV,>N,ACC,CJT,PU,
89855,>N,ACC,CO,PU,,
89856,ACC,CO,CJT,,,
89857,,,,PU,SUBJ,N<PRED
89858,,,SUBJ,SUBJ,N<PRED,>N
89859,,SUBJ,PU,N<PRED,>N,ACC
89860,SUBJ,PU,SUBJ,>N,ACC,ADVL
89861,PU,SUBJ,N<PRED,ACC,ADVL,>N
89862,SUBJ,N<PRED,>N,ADVL,>N,>N
89863,N<PRED,>N,ACC,>N,>N,P<
89864,>N,ACC,ADVL,>N,P<,N<
89865,ACC,ADVL,>N,P<,N<,>N
89866,ADVL,>N,>N,N<,>N,P<
89867,>N,>N,P<,>N,P<,PU
89868,>N,P<,N<,P<,PU,N<
89869,P<,N<,>N,PU,N<,PU
89870,N<,>N,P<,N<,PU,PU
89871,>N,P<,PU,PU,PU,N<PRED
89872,P<,PU,N<,PU,N<PRED,>N
89873,PU,N<,PU,N<PRED,>N,P<
89874,N<,PU,PU,>N,P<,PU
89875,PU,PU,N<PRED,P<,PU,STA
89876,PU,N<PRED,>N,PU,STA,>N
89877,N<PRED,>N,P<,STA,>N,ACC
89878,>N,P<,PU,>N,ACC,N<
89879,P<,PU,STA,ACC,N<,>N
89880,PU,STA,>N,N<,>N,P<
89881,STA,>N,ACC,>N,P<,N<
89882,>N,ACC,N<,P<,N<,>N
89883,ACC,N<,>N,N<,>N,P<
89884,N<,>N,P<,>N,P<,PU
89885,>N,P<,N<,P<,PU,
89886,P<,N<,>N,PU,,
89887,N<,>N,P<,,,
89888,,,,SUBJ,STA,>N
89889,,,PU,STA,>N,ACC
89890,,PU,SUBJ,>N,ACC,ACC
89891,PU,SUBJ,STA,ACC,ACC,SUBJ
89892,SUBJ,STA,>N,ACC,SUBJ,ADVL
89893,STA,>N,ACC,SUBJ,ADVL,N<
89894,>N,ACC,ACC,ADVL,N<,PU
89895,ACC,ACC,SUBJ,N<,PU,>N
89896,ACC,SUBJ,ADVL,PU,>N,PRED
89897,SUBJ,ADVL,N<,>N,PRED,N<
89898,ADVL,N<,PU,PRED,N<,PU
89899,N<,PU,>N,N<,PU,N<PRED
89900,PU,>N,PRED,PU,N<PRED,PU
89901,>N,PRED,N<,N<PRED,PU,
89902,PRED,N<,PU,PU,,
89903,N<,PU,N<PRED,,,
89904,,,,ACC,SUBJ,N<
89905,,,SUBJ,SUBJ,N<,ADVL
89906,,SUBJ,ACC,N<,ADVL,P<
89907,SUBJ,ACC,SUBJ,ADVL,P<,STA
89908,ACC,SUBJ,N<,P<,STA,>N
89909,SUBJ,N<,ADVL,STA,>N,ACC
89910,N<,ADVL,P<,>N,ACC,ADVL
89911,ADVL,P<,STA,ACC,ADVL,>N
89912,P<,STA,>N,ADVL,>N,P<
89913,STA,>N,ACC,>N,P<,CO
89914,>N,ACC,ADVL,P<,CO,CJT
89915,ACC,ADVL,>N,CO,CJT,>N
89916,ADVL,>N,P<,CJT,>N,ACC
89917,>N,P<,CO,>N,ACC,N<
89918,P<,CO,CJT,ACC,N<,P<
89919,CO,CJT,>N,N<,P<,PU
89920,CJT,>N,ACC,P<,PU,PU
89921,>N,ACC,N<,PU,PU,
89922,ACC,N<,P<,PU,,
89923,N<,P<,PU,,,
89924,,,,STA,SC,ADVL
89925,,,SUBJ,SC,ADVL,>N
89926,,SUBJ,STA,ADVL,>N,P<
89927,SUBJ,STA,SC,>N,P<,ACC
89928,STA,SC,ADVL,P<,ACC,ADVL
89929,SC,ADVL,>N,ACC,ADVL,P<
89930,ADVL,>N,P<,ADVL,P<,X
89931,>N,P<,ACC,P<,X,P<
89932,P<,ACC,ADVL,X,P<,
89933,ACC,ADVL,P<,P<,,
89934,ADVL,P<,X,,,
89935,,,,SUBJ,STA,ADVL
89936,,,>N,STA,ADVL,>N
89937,,>N,SUBJ,ADVL,>N,ACC
89938,>N,SUBJ,STA,>N,ACC,N<
89939,SUBJ,STA,ADVL,ACC,N<,>N
89940,STA,ADVL,>N,N<,>N,>N
89941,ADVL,>N,ACC,>N,>N,P<
89942,>N,ACC,N<,>N,P<,PU
89943,ACC,N<,>N,P<,PU,ADVL
89944,N<,>N,>N,PU,ADVL,>N
89945,>N,>N,P<,ADVL,>N,P<
89946,>N,P<,PU,>N,P<,ACC
89947,P<,PU,ADVL,P<,ACC,ADVL
89948,PU,ADVL,>N,ACC,ADVL,P<
89949,ADVL,>N,P<,ADVL,P<,X
89950,>N,P<,ACC,P<,X,P<
89951,P<,ACC,ADVL,X,P<,PU
89952,ACC,ADVL,P<,P<,PU,ADVL
89953,ADVL,P<,X,PU,ADVL,P<
89954,P<,X,P<,ADVL,P<,PU
89955,X,P<,PU,P<,PU,N<PRED
89956,P<,PU,ADVL,PU,N<PRED,PU
89957,PU,ADVL,P<,N<PRED,PU,PU
89958,ADVL,P<,PU,PU,PU,
89959,P<,PU,N<PRED,PU,,
89960,PU,N<PRED,PU,,,
89961,,,,SUBJ,N<,STA
89962,,,>N,N<,STA,>N
89963,,>N,SUBJ,STA,>N,>A
89964,>N,SUBJ,N<,>N,>A,ADVL
89965,SUBJ,N<,STA,>A,ADVL,CO
